MsSubClass,Neighborhood,Zone,Area,Room,BuiltAge,YearBuilt,Sale-Rent,Document,Floor,AllFloors,Elevator,Warehouse,Parking,Reconstruction,Balconcy,PricePerMeter,TotalPrice,URL
0,7,1,128,3,5,1398,0,0,5,9,1,1,1,1,1,132812000,17000000000,https://api.divar.ir/v8/posts-v2/web/gZCkKGtp
0,7,1,750,3,9,1394,0,NAN,5,NAN,1,0,1,NAN,NAN,666666000,5E+11,https://api.divar.ir/v8/posts-v2/web/QZ-WAM7N
0,7,1,185,3,11,1392,0,0,2,5,1,1,1,NAN,1,202702000,37500000000,https://api.divar.ir/v8/posts-v2/web/QZBmm2wx
0,9,1,128,2,15,1388,0,0,5,5,1,1,1,1,1,148437000,19000000000,https://api.divar.ir/v8/posts-v2/web/gZCI8HfW
0,9,1,160,3,1,1402,0,0,3,5,1,1,1,NAN,1,69444000,11111111111,https://api.divar.ir/v8/posts-v2/web/QZqLsJM7
0,9,1,80,1,13,1390,0,NAN,1,NAN,1,1,1,NAN,NAN,146250000,11700000000,https://api.divar.ir/v8/posts-v2/web/QZyXMpvr
0,9,1,185,3,17,1386,0,0,4,5,1,1,1,NAN,1,178378000,33000000000,https://api.divar.ir/v8/posts-v2/web/QZ7niGWL
0,9,1,80,1,15,1388,0,NAN,2,NAN,1,1,1,NAN,NAN,156250000,12500000000,https://api.divar.ir/v8/posts-v2/web/gZBIJQoo
0,16,1,128,3,6,1397,0,NAN,5,9,1,1,1,NAN,1,132812000,17000000000,https://api.divar.ir/v8/posts-v2/web/gZCsMnxF
0,41,1,75,1,5,1398,0,NAN,,NAN,1,1,1,NAN,NAN,98666000,7400000000,https://api.divar.ir/v8/posts-v2/web/QZyneBTV
0,41,1,80,2,6,1397,0,0,2,4,1,1,1,1,0,115000000,9200000000,https://api.divar.ir/v8/posts-v2/web/QZw7xP0a
0,42,1,80,2,8,1395,0,2,1,5,1,0,0,NAN,0,78125000,6250000000,https://api.divar.ir/v8/posts-v2/web/gZCIq997
0,43,1,220,4,11,1392,0,0,3,5,1,1,1,NAN,1,159090000,35000000000,https://api.divar.ir/v8/posts-v2/web/QZcDMNWb
0,43,1,137,3,1,1402,0,0,1,5,1,1,1,NAN,1,193430000,26500000000,https://api.divar.ir/v8/posts-v2/web/QZLhGGio
0,43,1,100,2,4,1399,0,0,3,4,1,1,1,NAN,1,176000000,17600000000,https://api.divar.ir/v8/posts-v2/web/gZBkYoCl
0,43,1,115,3,9,1394,0,0,4,5,1,1,1,NAN,NAN,145217000,16700000000,https://api.divar.ir/v8/posts-v2/web/QZv7AR1w
0,51,1,160,3,17,1386,0,0,2,4,1,1,1,NAN,1,69444000,11111111111,https://api.divar.ir/v8/posts-v2/web/gZCEnPts
0,51,1,132,3,11,1392,0,0,2,6,1,1,1,1,1,126515000,16700000000,https://api.divar.ir/v8/posts-v2/web/QZdTrwzM
0,51,1,86,2,2,1401,0,NAN,2,NAN,1,1,1,NAN,NAN,197674000,17000000000,https://api.divar.ir/v8/posts-v2/web/QZzHA2k1
0,51,1,75,1,7,1396,0,0,1,5,1,0,1,NAN,NAN,160000000,12000000000,https://api.divar.ir/v8/posts-v2/web/gZBM2mbE
0,61,1,155,3,6,1397,0,0,1,6,1,1,1,1,1,264516000,41000000000,https://api.divar.ir/v8/posts-v2/web/gZC4Lh45
0,61,1,202,3,21,1382,0,NAN,2,NAN,1,1,1,NAN,NAN,178217000,36000000000,https://api.divar.ir/v8/posts-v2/web/QZvmN0X4
