,MsSubClass,Zone,Neighborhood,Area,Room,YearBuilt,Sale-Rent,Document,Floor,AllFloors,Elevator,Warehouse,Parking,Reconstruction,Balconcy,PricePerMeter,TotalPrice
0,0,1,1,60,1,33,0,0,0,2,0,0,0,1,0,83333000.0,5000000000.0
1,0,1,10,60,1,26,0,0,1,2,0,1,1,1,0,225000000.0,13500000000.0
2,0,1,4,65,1,11,0,0,2,2,0,1,1,1,0,123076000.0,8000000000.0
3,0,1,8,71,1,28,0,0,2,2,0,1,1,0,0,119718000.0,8500000000.0
4,0,1,14,75,1,8,0,3,1,2,0,1,0,0,0,31000000.0,2325000000.0
5,0,1,4,80,2,20,0,0,1,2,1,1,1,1,1,143750000.0,11500000000.0
6,0,1,7,81,2,30,0,2,1,2,0,1,0,0,1,61481000.0,4980000000.0
7,0,1,5,85,2,23,0,0,2,2,0,0,0,0,1,144705000.0,12300000000.0
8,0,1,9,96,2,28,0,0,2,2,0,0,0,1,1,112500000.0,10800000000.0
9,0,1,4,96,2,23,0,0,2,2,0,0,0,1,1,102083000.0,9800000000.0
10,0,1,2,100,3,33,0,1,1,2,0,1,0,0,0,150000000.0,15000000000.0
11,0,1,13,100,2,21,0,0,1,2,0,1,1,1,1,115000000.0,11500000000.0
12,0,1,3,105,2,33,0,0,0,2,0,1,1,1,0,131428000.0,13800000000.0
13,0,1,12,106,2,22,0,0,1,2,1,1,1,0,1,103773000.0,11000000000.0
14,0,1,2,117,2,4,0,0,2,2,1,1,1,0,1,183760000.0,21500000000.0
15,0,1,5,126,2,13,0,0,4,2,1,1,1,1,1,238095000.0,30000000000.0
16,0,1,11,127,2,18,0,0,3,2,1,1,1,1,1,161417000.0,20500000000.0
17,0,1,4,130,3,33,0,0,1,2,0,1,1,1,1,169230000.0,22000000000.0
18,0,1,14,132,1,16,0,2,0,2,0,0,0,1,0,24015000.0,3170000000.0
19,0,1,4,135,2,6,0,0,4,2,1,1,1,1,0,152592000.0,20600000000.0
20,0,1,11,137,3,16,0,0,3,2,0,1,1,0,1,291970000.0,40000000000.0
21,0,1,15,140,3,13,0,0,4,2,1,1,1,1,1,139285000.0,19500000000.0
22,0,1,3,144,3,23,0,0,1,2,0,1,1,1,0,128472000.0,18500000000.0
23,0,1,3,144,3,18,0,0,1,2,0,1,1,1,1,138888000.0,20000000000.0
24,0,1,4,150,3,12,0,0,3,2,1,1,1,1,1,153333000.0,23000000000.0
25,0,1,11,178,3,1,0,3,5,2,1,1,1,0,1,191011000.0,34000000000.0
26,0,1,5,180,3,33,0,1,0,2,0,0,1,0,0,200000000.0,36000000000.0
27,0,1,5,180,3,18,0,0,1,2,1,1,1,0,1,150000000.0,27000000000.0
28,0,1,2,184,3,31,0,0,1,2,0,1,1,1,1,151086000.0,27800000000.0
29,0,1,2,184,3,30,0,0,1,2,0,1,1,1,1,145652000.0,26800000000.0
30,0,1,9,188,3,22,0,0,2,2,0,1,1,1,1,135638000.0,25500000000.0
31,0,1,10,200,2,23,0,0,2,2,0,1,1,1,1,225000000.0,45000000000.0
32,0,1,7,200,3,23,0,0,1,2,0,1,1,1,1,122500000.0,24500000000.0
33,0,1,10,202,3,15,0,0,1,2,1,1,1,0,1,242574000.0,49000000000.0
34,0,1,15,230,3,1,0,0,4,2,1,1,1,0,1,217391000.0,50000000000.0
35,0,1,6,240,3,3,0,0,5,2,1,1,1,1,1,187500000.0,45000000000.0
36,0,1,10,250,3,28,0,0,1,2,1,1,1,1,1,140000000.0,35000000000.0
37,0,1,11,250,4,24,0,1,1,2,0,1,1,1,1,144000000.0,36000000000.0
38,0,1,2,256,3,28,0,0,4,2,1,1,1,1,1,111328000.0,28500000000.0
39,0,1,4,258,4,21,0,0,5,2,1,1,1,1,1,162790000.0,42000000000.0
40,0,1,19,34,1,29,0,0,0,3,0,1,1,1,0,258823000.0,8800000000.0
41,0,1,15,40,1,29,0,0,2,3,0,1,0,1,0,125000000.0,5000000000.0
42,0,1,11,40,1,23,0,0,0,3,0,0,0,1,0,175000000.0,7000000000.0
43,0,1,15,45,1,23,0,0,2,3,0,1,1,1,0,135555000.0,6100000000.0
